filename,file_type,card_number,card_date_year,card_date_month,card_date_day,contributor,observation,all_observations,series_name,url,volume_title,published,subjects,topic_class,permalink
HCOAnnouncement0001_0001.innodata.xml,xml,1,1926,03,12,Harlow Shapley,,BLATHWAYT'S COMET,Announcement Card number: 1,http://tamkin2.eps.harvard.edu/IAUCs/HAC0001.jpg,Harvard College Observatory Announcement Cards,Harvard College Observatory,Astronomy--Observations; Astronomy--Research; Astronomical observatories; Variable stars; Women astronomers; ,History of Science; History of Astronomy,http://tamkin2.eps.harvard.edu/services/HACs.html
HCOAnnouncement0001_0001.innodata.jpg,jpg,1,1926,03,12,Harlow Shapley,,BLATHWAYT'S COMET,Announcement Card number: 1,http://tamkin2.eps.harvard.edu/IAUCs/HAC0001.jpg,Harvard College Observatory Announcement Cards,Harvard College Observatory,Astronomy--Observations; Astronomy--Research; Astronomical observatories; Variable stars; Women astronomers; ,History of Science; History of Astronomy,http://tamkin2.eps.harvard.edu/services/HACs.html
HCOAnnouncement0001_0001.innodata.txt,txt,1,1926,03,12,Harlow Shapley,,BLATHWAYT'S COMET,Announcement Card number: 1,http://tamkin2.eps.harvard.edu/IAUCs/HAC0001.jpg,Harvard College Observatory Announcement Cards,Harvard College Observatory,Astronomy--Observations; Astronomy--Research; Astronomical observatories; Variable stars; Women astronomers; ,History of Science; History of Astronomy,http://tamkin2.eps.harvard.edu/services/HACs.html
HCOAnnouncement0001_0001_a.innodata.csv,csv,1,1926,03,12,Harlow Shapley,BLATHWAYT’S COMET,BLATHWAYT'S COMET,Announcement Card number: 1,http://tamkin2.eps.harvard.edu/IAUCs/HAC0001.jpg,Harvard College Observatory Announcement Cards,Harvard College Observatory,Astronomy--Observations; Astronomy--Research; Astronomical observatories; Variable stars; Women astronomers; ,History of Science; History of Astronomy,http://tamkin2.eps.harvard.edu/services/HACs.html
HCOAnnouncement0001_0001_b.innodata.csv,csv,1,1926,03,12,Harlow Shapley,BLATHWAYT’S COMET,BLATHWAYT'S COMET,Announcement Card number: 1,http://tamkin2.eps.harvard.edu/IAUCs/HAC0001.jpg,Harvard College Observatory Announcement Cards,Harvard College Observatory,Astronomy--Observations; Astronomy--Research; Astronomical observatories; Variable stars; Women astronomers; ,History of Science; History of Astronomy,http://tamkin2.eps.harvard.edu/services/HACs.html
HCOAnnouncement0001_0002.innodata.xml,xml,2,1926,03,18,Harlow Shapley,,ENSOR'S COMET; BLATHWAYT'S COMET,Announcement Card number: 2,http://tamkin2.eps.harvard.edu/IAUCs/HAC0002.jpg,Harvard College Observatory Announcement Cards,Harvard College Observatory,Astronomy--Observations; Astronomy--Research; Astronomical observatories; Variable stars; Women astronomers; ,History of Science; History of Astronomy,http://tamkin2.eps.harvard.edu/services/HACs.html
HCOAnnouncement0001_0002.innodata.jpg,jpg,2,1926,03,18,Harlow Shapley,,ENSOR'S COMET; BLATHWAYT'S COMET,Announcement Card number: 2,http://tamkin2.eps.harvard.edu/IAUCs/HAC0002.jpg,Harvard College Observatory Announcement Cards,Harvard College Observatory,Astronomy--Observations; Astronomy--Research; Astronomical observatories; Variable stars; Women astronomers; ,History of Science; History of Astronomy,http://tamkin2.eps.harvard.edu/services/HACs.html
HCOAnnouncement0001_0002.innodata.txt,txt,2,1926,03,18,Harlow Shapley,,ENSOR'S COMET; BLATHWAYT'S COMET,Announcement Card number: 2,http://tamkin2.eps.harvard.edu/IAUCs/HAC0002.jpg,Harvard College Observatory Announcement Cards,Harvard College Observatory,Astronomy--Observations; Astronomy--Research; Astronomical observatories; Variable stars; Women astronomers; ,History of Science; History of Astronomy,http://tamkin2.eps.harvard.edu/services/HACs.html
HCOAnnouncement0001_0002_a.innodata.csv,csv,2,1926,03,18,Harlow Shapley,ENSOR'S COMET,ENSOR'S COMET; BLATHWAYT'S COMET,Announcement Card number: 2,http://tamkin2.eps.harvard.edu/IAUCs/HAC0002.jpg,Harvard College Observatory Announcement Cards,Harvard College Observatory,Astronomy--Observations; Astronomy--Research; Astronomical observatories; Variable stars; Women astronomers; ,History of Science; History of Astronomy,http://tamkin2.eps.harvard.edu/services/HACs.html
HCOAnnouncement0001_0002_b.innodata.csv,csv,2,1926,03,18,Harlow Shapley,ENSOR'S COMET,ENSOR'S COMET; BLATHWAYT'S COMET,Announcement Card number: 2,http://tamkin2.eps.harvard.edu/IAUCs/HAC0002.jpg,Harvard College Observatory Announcement Cards,Harvard College Observatory,Astronomy--Observations; Astronomy--Research; Astronomical observatories; Variable stars; Women astronomers; ,History of Science; History of Astronomy,http://tamkin2.eps.harvard.edu/services/HACs.html
