filename,card_number,card_date_year,card_date_month,card_date_day,compiler,observation,all_observations,series_name,url
HCOAnnouncement0001_0001.innodata.xml,1,1926,3,12,Harlow Shapley,,BLATHWAYT’S COMET,Announcement Card number: 1,http://tamkin2.eps.harvard.edu/IAUCs/HAC0001.jpg
HCOAnnouncement0001_0001.innodata.jpg,1,1926,3,12,Harlow Shapley,,BLATHWAYT’S COMET,Announcement Card number: 1,http://tamkin2.eps.harvard.edu/IAUCs/HAC0001.jpg
HCOAnnouncement0001_0001.innodata.txt,1,1926,3,12,Harlow Shapley,,BLATHWAYT’S COMET,Announcement Card number: 1,http://tamkin2.eps.harvard.edu/IAUCs/HAC0001.jpg
HCOAnnouncement0001_0001_a.innodata.csv,1,1926,3,12,Harlow Shapley,BLATHWAYT’S COMET,BLATHWAYT’S COMET,Announcement Card number: 1,http://tamkin2.eps.harvard.edu/IAUCs/HAC0001.jpg
HCOAnnouncement0001_0001_b.innodata.csv,1,1926,3,12,Harlow Shapley,BLATHWAYT’S COMET,BLATHWAYT’S COMET,Announcement Card number: 1,http://tamkin2.eps.harvard.edu/IAUCs/HAC0001.jpg
HCOAnnouncement0001_0002.innodata.xml,2,1926,3,18,Harlow Shapley,,ENSOR'S COMET; BLATHWAYT’S COMET,Announcement Card number: 2,http://tamkin2.eps.harvard.edu/IAUCs/HAC0002.jpg
HCOAnnouncement0001_0002.innodata.jpg,2,1926,3,18,Harlow Shapley,,ENSOR'S COMET; BLATHWAYT’S COMET,Announcement Card number: 2,http://tamkin2.eps.harvard.edu/IAUCs/HAC0002.jpg
HCOAnnouncement0001_0002.innodata.txt,2,1926,3,18,Harlow Shapley,,ENSOR'S COMET; BLATHWAYT’S COMET,Announcement Card number: 2,http://tamkin2.eps.harvard.edu/IAUCs/HAC0002.jpg
HCOAnnouncement0001_0002_a.innodata.csv,2,1926,3,18,Harlow Shapley,ENSOR'S COMET,ENSOR'S COMET; BLATHWAYT’S COMET,Announcement Card number: 2,http://tamkin2.eps.harvard.edu/IAUCs/HAC0002.jpg
HCOAnnouncement0001_0002_b.innodata.csv,2,1926,3,18,Harlow Shapley,ENSOR'S COMET,ENSOR'S COMET; BLATHWAYT’S COMET,Announcement Card number: 2,http://tamkin2.eps.harvard.edu/IAUCs/HAC0002.jpg
HCOAnnouncement0001_0002_c.innodata.csv,2,1926,3,18,Harlow Shapley,BLATHWAYT’S COMET,ENSOR'S COMET; BLATHWAYT’S COMET,Announcement Card number: 2,http://tamkin2.eps.harvard.edu/IAUCs/HAC0002.jpg
HCOAnnouncement0001_0003.innodata.xml,3,1926,5,15,Harlow Shapley,,,Announcement Card number: 3,
HCOAnnouncement0001_0003.innodata.jpg,3,1926,5,15,Harlow Shapley,,,Announcement Card number: 3,
HCOAnnouncement0001_0003.innodata.txt,3,1926,5,15,Harlow Shapley,,,Announcement Card number: 3,
HCOAnnouncement0001_0004.innodata.xml,4,1926,7,15,Harlow Shapley,,KOPFF'S COMET (1906-IV),Announcement Card number: 4,
HCOAnnouncement0001_0004.innodata.jpg,4,1926,7,15,Harlow Shapley,,KOPFF'S COMET (1906-IV),Announcement Card number: 4,
HCOAnnouncement0001_0004.innodata.txt,4,1926,7,15,Harlow Shapley,,KOPFF'S COMET (1906-IV),Announcement Card number: 4,
HCOAnnouncement0001_0004_a.innodata.csv,4,1926,7,15,Harlow Shapley,KOPFF'S COMET (1906-IV),KOPFF'S COMET (1906-IV),Announcement Card number: 4,
HCOAnnouncement0001_0005.innodata.xml,5,1926,8,4,Harlow Shapley,,FINLAY'S COMET (1886 VII),Announcement Card number: 5,
HCOAnnouncement0001_0005.innodata.jpg,5,1926,8,4,Harlow Shapley,,FINLAY'S COMET (1886 VII),Announcement Card number: 5,
HCOAnnouncement0001_0005.innodata.txt,5,1926,8,4,Harlow Shapley,,FINLAY'S COMET (1886 VII),Announcement Card number: 5,
